barcode,name,description,quantity,amount,units,price,quantity,sale,purchased_at,store,
0631899213891,Farberware 6 Qt Covered Jumbo Cooker,Farberware,NULL,NULL,NULL,24.97,1,0,11/17/2012 0:00,Walmart,
078742228167,"Great Value Low Fat Fruit & Grain Bars Straw",Great Value,8,10.4,ounces,2,1,0,11/17/2012 0:00,Walmart,
015300440326,Pasta Roni Shells & Wht Cheddar,Pasta Roni,NULL,6.2,ounces,1,6,0,11/17/2012 0:00,Walmart,
015300440326,Pasta Roni Shells & Wht Cheddar,Pasta Roni,NULL,6.2,ounces,1,10,0,1/14/2013 0:00,Walmart,
015300440326,Pasta Roni Shells & Wht Cheddar,Pasta Roni,NULL,6.2,ounces,1.02,1,0,2/23/2013 0:00,Walmart,
015300440326,Pasta Roni Shells & Wht Cheddar,Pasta Roni,NULL,6.2,ounces,1.02,1,0,2/23/2013 0:00,Walmart,
051000010216,Campbell's Condensed Vegetable Soup 10.5 oz,Campbell's,NULL,10.5,ounces,1.25,4,1,11/17/2012 0:00,Walmart,
0078742229010,Fat Free Cream of Chicken Soup,Great Value,1,10.5,ounces,1.25,4,1,11/17/2012 0:00,Walmart,
042400067634,Frosted Mini-Spooners (Malt-o-meal),Malt-O-Meal,NULL,68,ounces,8.68,2,0,11/17/2012 0:00,Walmart,
042400067634,Frosted Mini-Spooners (Malt-o-meal),Malt-O-Meal,NULL,68,ounces,8.68,3,0,2/2/2013 0:00,Walmart,
041646123531,Cheese Tortellini,Celentano,NULL,19,ounces,2.97,1,0,11/17/2012 0:00,Walmart,
0834183007132,Alexia - Julienne Fries - With Chipotle Seaso,Alexia,NULL,20,ounces,2.98,1,0,11/17/2012 0:00,Walmart,
0834183007132,Alexia - Julienne Fries - With Chipotle Seaso,Alexia,NULL,20,ounces,1.38,4,0,9/19/2012 0:00,Walmart,
681131699372,Equate Easy-Open Ibuprofen,Equate,100,0,ounces,2.32,1,0,11/17/2012 0:00,Walmart,
0013120004551,OREIDA ZESTY TWIRLS,Oreida,NULL,28,ounces,2.96,1,0,11/17/2012 0:00,Walmart,
NULL,Zuchinni,NULL,0,NULL,NULL,0.48,2,0,11/17/2012 0:00,Walmart,
NULL,Zuchinni,NULL,0,NULL,NULL,1.99,2,0,2/11/2013 0:00,Walmart,
011110785961,Home Sense Toilet Paper (12 Double Rolls),Home Sense,12,NULL,ounces,NULL,1,1,11/25/2012 0:00,Maceys,
071430010662,Dole Classic Coleslaw,Dole,NULL,14,ounces,1.79,2,0,11/24/2012 0:00,Maceys,
042000610452,"Dixie 8.5\"" Paper Plates 45 Count",NULL,45,NULL,ounces,2.29,1,0,11/24/2012 0:00,Walmart,
015400002356,Western Family Fat Free Sour Cream 16 oz,Western Family,NULL,16,ounces,0.99,1,0,11/25/2012 0:00,Maceys,
